A,B,C,D
-111.3,-23.46,9.67,-14.79
-179.24,-100.69,4.47,-48.14
-175.09,-83.71,-124.65,-113.78
-107.62,-17.67,-41.57,-38.31
-150.45,-76.03,47.31,-4.51
-193.58,-124.26,-98.28,-108.42
-124.74,-36.1,-89.04,-74.81
-129.06,-46.23,32.17,-3.25
-190.5,-109.61,-36.77,-64.82
-150.53,-56.15,-114.52,-96.1
-109.37,-17.41,19.13,1.34
-188.92,-105.45,-1.5,-45.44
-183.31,-82.57,-116.21,-105.85
-118.07,-28.14,-36.1,-37.68
-143.04,-68.37,46.56,-9.55
-180.19,-95.58,-81.41,-100.86
-117.98,-9.55,-75.63,-75.7
-112.83,-18.9,42.44,-1.03
-172.32,-91.14,-32.02,-73.54
-107.19,-3.37,-113.54,-106.73
-42.36,51.52,21.12,-6.36
-35.24,47.46,25.2,-26.18
-40.22,30.5,-121.6,-114.55
49.16,138.2,-39.92,-41.32
144.84,166.63,49.99,-2.37
112.4,225.3,-79.1,-92.09
196.76,324.02,-74.62,-67.74
220.33,278.08,51,8.16
229.28,288.47,-54.73,-74.65
265.85,300.47,-144.13,-105.17
449.51,441.27,8.83,12.19
448.89,350.87,-32.39,-51.69
588.62,408.05,-167.28,-131.53
905.24,580.04,-100.42,-78.69
1168.34,699.02,-55.2,-68.66
1307.08,727.48,-190.83,-210.86
1667.56,1074.79,-201.31,-173.23
1838.48,1198.08,-109.18,-139.26
1768.48,1080.71,-225.82,-246.16
1994.55,1320.15,-277.32,-266.33
2118.22,1388.86,-162.93,-199.16
2013.65,1350.85,-198.21,-269.99
2142.59,1354.53,-192.28,-335.54
2201.63,1429.97,-95.62,-244.53
2109,1340.4,-94.59,-220.14
2222.11,1291.91,-223.97,-306.85
2375.88,1380.26,-213.41,-308.33
2491.68,1441.59,-103.54,-256.49
2296.83,1242.9,-164.37,-316.84
2429.21,1304.97,-218.11,-345.26
2543.59,1406.94,-106.93,-239.29
2522.71,1352.89,-125.82,-270.39
2508.33,1381.02,-248.23,-341.06
2602.41,1502.09,-173.98,-295.11
2638.9,1557.34,-103.45,-277.13
2473.01,1441.89,-230.9,-381.21
2581.96,1590.97,-199.96,-329.86
2576.05,1613.8,-115.44,-264.66
2510.89,1536.49,-171.02,-324.79
2544.55,1610.1,-223.36,-353.38
2592.37,1668.05,-92.91,-234.6
2489.36,1543.21,-125.15,-282.52
2471.61,1562.45,-216.9,-348.72
2547.97,1637.37,-157.84,-293.13
2428.49,1567.93,-118.59,-278.82
2374.36,1539.87,-222.79,-375.69
2382.79,1607.31,-206.3,-340.55
2390.38,1538.1,-96.13,-275.27
2274.16,1471.34,-164.7,-333.37
2319.1,1448.6,-205.53,-340.98
2300.66,1516.74,-91.89,-268.11
2255.21,1461.14,-120.81,-302.93
2158.86,1409.6,-185.87,-331.5
2181.74,1407.68,-130.11,-290.03
2181.61,1391.78,-64.69,-241.76
2170.28,1325.71,-174.6,-325.03
2111.59,1374.16,-157.31,-305.36
2063.28,1314.16,-41.69,-219.63
1981.19,1205.24,-114.66,-282.83
1958.42,1185.09,-164.88,-298.98
2025.3,1220.53,-39.84,-212.03
1938.09,1158.67,-50.2,-187.04
1949.39,1183.15,-153.19,-336.87
1911.33,1198.4,-68.29,-230.56
1802.45,1048.96,4.74,-187.15
1724.19,955.38,-116.44,-279.82
1805.28,1020.36,-81.11,-210.36
1759.95,934.58,15.04,-160.91
1650.19,800.59,-38.09,-214.49
1671.65,783.79,-74.45,-210.66
1664.47,707.39,62.3,-94.42
1523.41,525.38,39.27,-110.96
1481.6,423.18,-22.36,-164
1477.74,382.54,106.84,-70.93
1357.86,248.16,189.98,-35.24
1228.81,119.47,88.57,-113.14
1174.57,129.01,122.23,-55.28
992.54,37.4,249.01,38.55
734.75,-111.19,186.57,-28.24
608.19,-111.44,135.33,-33.46
459.22,-141.15,288.24,72.12
207.62,-272.66,281.39,51.25
71.51,-293.47,166.26,23.14
10.72,-279.29,266.76,103.95
-120.65,-365.07,334.28,158.04
-259.07,-444.42,217.39,81.22
-276.55,-402.58,212.24,119.31
-363.24,-445.96,305.37,184.58
-498.15,-536.63,217.75,134.44
-506.02,-512.53,132.82,103.28
-520.48,-487.81,251.38,197.61
-650.63,-586.54,193.31,156.63
-676.79,-582.93,101.41,75.73
-639.14,-526.03,144.3,163.1
-712.7,-588.66,227.95,168.48
-795.77,-647.66,75.87,81.79
-751.1,-568.73,63.16,108.02
-770.47,-574.93,186.99,192.36
-865.06,-662.44,108.91,121.53
-835.52,-604.13,35.57,99.98
-818.47,-577.96,163.09,187.11
-905.54,-647.37,148.98,158.55
-915.26,-631.61,20.27,72.97
-845.57,-564.1,94.22,144.14
-888.73,-610.96,184.67,180.47
-955.13,-651.27,46.23,80.81
-891.6,-570.36,47.25,114.35
-893.98,-572.86,179.44,189.08
-969.66,-638.27,94.22,122.77
-931.04,-583.19,9.22,78.82
-887.79,-536.68,136.42,169.06
-956.36,-604.67,125.13,138.45
-961.83,-594.15,-1.34,63.65
-889.64,-512.45,72.37,131.1
-931.11,-561.16,154.54,161.93
-982.15,-594.6,21.72,57.61
-913.33,-514.87,28.68,88.38
-919.55,-521.29,138.8,144.04
-987.97,-592.28,66.64,74.5
-944.92,-531.16,-12.1,43.64
-889.46,-488.26,113.47,131.98
-956.77,-555.31,104.05,106.7
-961.66,-545.81,-18.43,39.22
-894.53,-475.15,52.38,102.24
-919.29,-512.65,133.59,139.68
-964.4,-551.05,5,46.57
-899.54,-471.13,2.73,69.9
-890.45,-474.74,122.82,143.9
-958.19,-545.84,37.72,74.76
-905.1,-491.62,-47.6,40.99
-848.96,-430.29,92.28,128.97
-914.69,-501.26,82.31,101.63
-912.52,-488.79,-43.61,20.32
-839.88,-416.57,28.4,87.97
-876.5,-464.48,107.25,121.95
-916.39,-494.44,-23.81,23.7
-843.15,-417.66,-18.05,46.89
-836.15,-424.86,102.31,118.89
-898.14,-497.25,28.27,45.12
-852.56,-425.5,-47.13,5.89
-809.85,-385.16,78.34,96.09
-866.24,-453.86,75.53,68.01
-852.54,-436.16,-47.88,-6.08
-780.79,-358.75,21.39,59.8
-823.59,-407.33,101.25,95.23
-853.95,-444.94,-31.26,-2.37
-780.31,-366.24,-32.64,28.91
-765.67,-365.67,92.44,103.15
-842.2,-436.25,20.24,27.12
-795.03,-376.96,-59.97,-5.14
-743.2,-326.88,62.33,78.23
-799.58,-408.83,57.46,53.62
-796.92,-390.46,-64.49,-18.06
-719.54,-313.29,4.79,43.18
-755.13,-366.33,83.79,75.65
-800.92,-398.93,-46.46,-19.64
-730.57,-316.23,-43.54,9.62
-706.79,-315.54,78.4,84.56
-762.32,-385.47,12.74,28.08
-735.56,-336.15,-81.9,-20.03
-692.31,-305.09,55.68,71.37
-739.53,-352.29,47.95,38.03
-730.45,-343.61,-81.4,-40.3
-657.99,-270.33,-9.69,28.87
-691.2,-308.57,76.8,66
-742.66,-361.22,-59.87,-33.11
-677.61,-283.39,-54.19,-8.78
-667.69,-283.07,71.19,62.29
-732.61,-355.31,-12.27,-3.44
-682.37,-306.93,-96.68,-38.09
-644.17,-261.82,31.91,46.59
-694.42,-329.98,35.25,28.47
-696.92,-323.67,-95.31,-52.12
-625.99,-248.14,-25.35,9.34
-659.57,-291.09,58.87,48.46
-699.89,-330.24,-71.47,-44.89
-625.93,-254.89,-64.46,-14.92
-611.91,-255.53,57.53,54.35
-677.18,-316.89,-9.13,-1.17
-622.88,-255.71,-90.28,-22.36
-570.91,-214.56,52.46,71.95
-625.26,-287.77,44.12,37.1
-632.59,-286.54,-93.51,-53.09
-568.83,-214.3,-25.38,-3.77
-608.78,-253.34,54.78,29.56
-648.26,-290.68,-80.55,-57.88
-561.98,-205.24,-73.08,-29.2
-543.28,-205.85,59.97,48.92
-613.56,-284.08,-22.05,-22.94
-570.27,-225.42,-107.99,-58.12
-518.66,-181.32,30.15,37.96
-588.27,-260.7,21.47,0.58
-592.58,-235.97,-103.27,-75.42
-518.94,-163.91,-24.69,-5.78
-547.88,-223.62,55.22,26.39
-588.41,-253.33,-80.82,-73.11
-508.72,-168.79,-71.04,-40.77
-503.98,-174.76,50.81,38.26
-580.69,-248.29,-20.38,-35.36
-545.38,-210.82,-107.61,-71.84
-488.82,-154.14,21.8,16.56
-549.15,-233.52,22.56,-3.07
-539.92,-217.32,-101.38,-76.45
-464.59,-136.83,-34.5,-5.99
-502.76,-184.5,55.96,33.51
-545.36,-224.24,-77.25,-62.8
-466.8,-145.76,-75.72,-39.18
-460.58,-160.21,41.77,28.41
-536.26,-225.89,-27.4,-33.02
-492.58,-154.88,-108.56,-58.97
-443.26,-115.45,9.86,20.83
-511.82,-193.43,18.79,-3.89
-499.06,-191.45,-104.98,-88.7
-419.19,-123.48,-29.65,-13.46
-451.85,-168.74,47.6,21.97
-502.28,-211.1,-83.02,-77.21
-413.32,-115.85,-73.97,-34.45
-406.93,-119.36,53.08,43.87
-491.95,-192.32,-25.26,-26.11
-452.83,-144.18,-116.9,-69.69
-378.86,-94.02,12.86,33.56
-443.91,-175.95,10.66,10.79
-453.99,-174.45,-119.34,-64.42
-382.71,-100.26,-44.31,2.21
-410.11,-139.53,46.36,46.7
-463.94,-180.46,-86.71,-47.95
-393.22,-105.03,-95.29,-30.03
-377.89,-108.19,41.56,47.25
-447.95,-182.87,-33.88,-29.13
-407.42,-129.27,-115.43,-62.02
-367.03,-87.48,10.16,27.89
-427.84,-172.59,9.03,3.96
-445.88,-171.14,-119.88,-80.89
-361.88,-67.63,-32.46,-5.01
-382.52,-131.19,44.63,29.01
-419.13,-170.95,-87.97,-71.72
-361.34,-96.22,-94.42,-47.58
-352.55,-101.56,38.23,32.8
-422.26,-174.83,-30.32,-36.29
-375.06,-110.54,-122.64,-76.64
-324.9,-68.5,14.74,18.92
-397.14,-150.19,3.22,-19.18
-393.41,-146.3,-114.69,-86.3
-335.99,-70.09,-49.94,-21.98
-359.72,-126.89,37.63,14.55
-392.2,-167.53,-86.85,-76.28
-331.26,-82.75,-83.45,-55.83
-331.15,-95.01,30.77,19.13
-415.12,-168.47,-33.27,-45.56
-353.16,-100.56,-116.95,-87.12
-292.8,-60.57,8.43,9.54
-365.64,-141.2,7.39,-14.35
-375.74,-129.91,-120.52,-96.13
-280.2,-52.02,-41.12,-28.39
-332.06,-120.48,45.57,13.1
-387.2,-155.42,-92.3,-92.67
-305.04,-58.8,-96.51,-69.56
-290.34,-58.55,41.24,15.1
-354.56,-124.78,-25.91,-58.1
-311.28,-72.05,-121.32,-104.56
-256.62,-26.9,10.59,-9.29
-339.03,-124.09,8.11,-29.79
-346.73,-127.66,-117.68,-99.89
-267.6,-41.06,-45.11,-21.63
-293.84,-89.98,34.38,10.13
-348.26,-128.03,-99.89,-85
-282.01,-54.28,-94.07,-55.68
-265.2,-59.99,35.85,28.34
-337.63,-147.32,-36.57,-41.29
-325,-96.71,-126.59,-88.8
-262.33,-46.62,4.68,6.28
-306.13,-116.94,10.3,-18.15
-312.09,-110.35,-107.31,-79.57
-246.44,-42.12,-42.23,-31.35
-285.64,-100.07,47.33,8.87
-338.17,-142.02,-88.67,-85.49
-269.67,-58.31,-89.99,-56.2
-257.42,-67.4,48,23.05
-331.79,-145.01,-26.88,-53.45
-301.47,-99.97,-120.1,-99.95
-242.8,-47.87,10.93,6.86
-302.84,-119.09,17.05,-8.66
-308.29,-119.52,-113.27,-94.72
-246.4,-50.06,-45.03,-33.8
-287.34,-96.82,36.18,3.83
-320.6,-146.76,-85.94,-83.97
-257.95,-59.41,-88.24,-64.97
-244.45,-58.68,39.84,6.63
-322.76,-132.98,-29.85,-53.13
-284.02,-84.3,-122.51,-96.58
-224.72,-30.22,9.71,-10.12
-292.66,-117.46,8.86,-31.87
-309.6,-116.88,-116.65,-114.45
-217.17,-33.99,-40.45,-36.35
-253.09,-83.95,48.7,1.52
-312.48,-136.22,-88.43,-90.9
-233.31,-59.07,-91.46,-70.23
-230.07,-65.61,30.07,0.48
-303.82,-140.96,-37.05,-70.45
-277.41,-91.33,-124.16,-99.8
-211.33,-47.52,8.29,-5.6
-269.2,-132.16,8.8,-25.49
-268.42,-109.07,-116.87,-96.83
-218.83,-27.25,-50.08,-34.57
-233.14,-71.94,41.2,0.08
-268.62,-115.09,-81.88,-89.38
-207.89,-48.82,-88.15,-69.32
-202.51,-60.98,40.63,5.05
-265.5,-141.59,-28.99,-56.05
-237.79,-91.88,-115.76,-92.38
-188.2,-39.97,12.79,-4.95
-258.42,-121.49,15.53,-25.26
-265.45,-127.94,-110.38,-103.76
-202.29,-63.68,-44.13,-45.26
-222.99,-96.16,49.51,7.47
-275.46,-151.72,-76.76,-86.04
-213.43,-66.28,-91.8,-77.93
-219.67,-72.48,45.52,5.85
-293.48,-156.52,-24.46,-63.3
-227.14,-96.47,-113.96,-93.69
-162.32,-56.54,14.8,-1.49
-226.24,-135.33,19.81,-21.23
-237.97,-130.57,-102.89,-88.54
-166.04,-43.52,-33.28,-17.14
-192.6,-86.92,66.03,34.14
-257.06,-144.52,-69.53,-73.3
-203.19,-76.31,-92.22,-76.16
-197.67,-86.57,39.44,-0.07
-281.5,-160.43,-34.59,-64.09
-225.21,-111.97,-125.34,-105.24
-165.04,-63.91,3.02,-12.82
-243.24,-136.9,13.94,-28.31
-250.7,-133,-122.01,-116.84
-151.09,-45.22,-42.55,-29.36
-177.36,-91.17,51.32,2.52
-237.7,-141.66,-82.4,-100.04
-175.42,-63.56,-95.91,-76.14
-168.88,-79.17,31.65,3.35
-236.49,-151.59,-29.71,-57.62
-198.98,-98.11,-121.92,-102.31
-149.64,-48.98,4.18,-8.28
-221.25,-132.6,9.55,-36.4
-227.31,-127.07,-118.85,-109.78
-163.93,-48.13,-47.22,-46.63
-192.56,-104.45,38.79,-11.66
-254.09,-155.97,-82.48,-97.35
-161.16,-68.86,-86.9,-74.73
-157.81,-71.26,27.77,7.24
-215.26,-132.99,-25.16,-48.38
-194.1,-98.68,-126.27,-96.54
-138.69,-45.96,7.53,3.46
-208.96,-122.16,11.04,-16.79
-219.85,-131.31,-122.39,-101.13
-151.62,-53.29,-53.58,-43.98
-179.48,-97.32,38.71,4.85
-228.15,-141.23,-79.09,-86.1
-164.16,-67.82,-90.54,-69.6
-159.76,-82.75,38.75,3.15
-228.26,-151.65,-27.3,-58.09
-187.54,-103.41,-126.66,-100.56
-123.08,-42.83,7.43,-3.75
-190.98,-118.8,16.73,-19.44
-205.49,-115.54,-120.49,-95.26
-140.7,-46.09,-57.28,-32.55
-168.41,-84.34,44.72,14.17
-222.18,-136.41,-77.53,-77.98
-164.3,-72.24,-89.73,-59.66
-157.92,-72.87,36.08,14.74
-226.86,-141.02,-43.64,-53.37
-189.22,-88.48,-118.39,-91.29
-126.2,-49.11,8.43,9.93
-206.05,-126.82,10.36,-18.85
-225.84,-134.85,-118.41,-105.25
-130.63,-57.88,-48.44,-37.82
-173.19,-97.59,39.56,3.71
-220.03,-130.74,-78.59,-78.94
-144.39,-53.52,-89.21,-62.24
-142.1,-58.73,36.27,11.79
-210.38,-127.73,-27.41,-53.01
-175.59,-78.46,-121.2,-104.89
-128.9,-33.6,2.48,-11.73
-194.85,-112.97,9.7,-34.55
-200.23,-102.8,-120.76,-116.67
-133.34,-25.92,-53.62,-44.01
-176.84,-87.32,37.5,-5.13
-204.54,-125.82,-87.77,-104.27
-124.9,-44.1,-92.92,-77.5
-123.41,-41.77,28.09,-6.06
-197.07,-118.45,-36.58,-72
-169.3,-74.61,-125.76,-108.81
-115.44,-32.99,-4.26,-15.03
-189.57,-114.46,12.51,-37.53
-194.74,-106.58,-116.96,-108.31
-121.28,-26.94,-63.68,-48.84
-148.03,-69.96,35.25,1.54
-210.86,-129.57,-95.39,-90.43
-143.74,-44.41,-95.66,-69.78
-135.39,-37.18,21.96,1.73
-202.26,-117.72,-34.42,-56
-164.29,-79.58,-122.98,-103.63
-116.65,-38.96,-3.33,-18.88
-176.1,-100,13.2,-28.74
-194.85,-102.13,-117.72,-116.48
-114.2,-28.24,-53.22,-51.22
-137,-71.79,44.93,-9.06
-196.17,-116.2,-83.23,-102.21
-137.47,-36.76,-95.49,-81.28
-123.85,-53.57,39.71,3.63
-211.7,-130.45,-32.26,-58.5
-213.01,-79.03,-120.74,-98.32
-128.24,-27.81,4.09,-5.44
-149.35,-91.34,17.79,-17.41
-158.97,-88.5,-107.21,-101.38
-111.97,-24.23,-44.56,-40.97
-172.23,-85.68,50.37,13.16
-253.48,-147.68,-84.33,-84.68
-164.16,-79.84,-85.91,-60.46
-131.51,-41.77,45.13,20.43
-198.07,-94.6,-17.88,-45.98
-135.45,-39.18,-117.85,-81.46
-72.02,-7.41,0.22,4.66
-140.62,-103.52,11.28,-16.8
-159.75,-93.28,-117.4,-123.8
-70.47,18.31,-43.08,-42.05
-112.63,-13.22,50.2,7.59
-166.53,-76.18,-78.92,-96.53
-96.55,-4.85,-101.2,-60.2
-72.62,7.87,35.2,-10.08
-132.88,-44.37,-21.68,-65.4
-81.59,2.97,-119.46,-103.17
5.72,88.15,12.01,-1.36
-48.73,48.8,20.35,-11.09
-74.87,17.35,-101.86,-57.66
38.21,116.11,-41.17,-59.69
67.65,115.93,59.75,9.83
68.77,130.37,-70.4,-70.54
147.18,233.39,-80.21,-76.73
117.42,223.28,56.95,17.59
119.31,155.1,6.15,-26.25
162.47,240.76,-97.58,-73.6
252.99,294.46,18.35,3.73
183.4,303.64,48.16,17.3
74,227.22,-104.87,-92.38
270.82,356.83,-55.55,-20.86
216.5,339.16,36.87,41.57
112.54,300.68,-111.78,-80.83
307.4,419.64,-139.26,-53.7
282.27,446.62,-11.25,22.26
431.72,588.51,-105.82,-77.57
558.92,927.28,-216.73,-151.02
752.66,1159.54,-105.03,-62.73
867.69,1266.21,-110.93,-114.7
1114.56,1378.84,-260.33,-245.88
1277.07,1546.07,-191.57,-162.29
1240.08,1480.35,-147.31,-171.76
1356.1,1570.95,-279.49,-288.29
1520.19,1648.04,-261.5,-285.87
1667.31,1715.04,-132.63,-220.56
1557.06,1586.27,-114.76,-263.65
1756.31,1630.23,-193.25,-245.95
1873.42,1734.18,-117.08,-233.11
1883.82,1607.57,-138.58,-264.63
2098.46,1663.23,-244.37,-338.95
2186.01,1665.06,-166.02,-283.92
2216.71,1738.09,-79.49,-246.12
2194.93,1698.07,-186.17,-332.81
2219.97,1627.88,-192.36,-271.49
2277.54,1704.17,-85.16,-279.16
2289.83,1615.05,-166.01,-304.15
2283.65,1692.3,-227.07,-359.07
2388.57,1736.22,-111.23,-273.7
2203.28,1566.63,-113.29,-318.35
2337.52,1674.12,-205.43,-361
2480.51,1751.32,-141.85,-291.96
2351.56,1592.83,-74.78,-268.65
2322.41,1576.6,-163.43,-348.75
2411.61,1676.94,-159.8,-325.18
